timestamp,episode,latency,replicas,reward,epsilon
2026-01-12 18:37:54.005589,0,0.2207209825515747,2,5.0,0.8865
2026-01-12 18:38:01.795833,1,0.252486252784729,1,5.900549888610839,0.8732025
2026-01-12 18:38:07.195758,2,0.23542964458465576,1,7.0,0.8601044624999999
2026-01-12 18:38:12.535864,3,0.20416607856750488,1,7.0,0.8472028955625
2026-01-12 18:38:19.848413,4,0.24706180095672609,1,7.0,0.8344948521290624
2026-01-12 18:38:27.506204,5,0.2261350631713867,2,5.0,0.8219774293471265
2026-01-12 18:38:34.989769,6,0.22157206535339355,1,7.0,0.8096477679069196
2026-01-12 18:38:40.643961,7,0.23371078968048095,1,7.0,0.7975030513883158
2026-01-12 18:38:51.556177,8,0.46976461410522463,2,-8.5,0.785540505617491
2026-01-12 18:38:59.224733,9,0.2063035249710083,3,3.0,0.7737573980332286
2026-01-12 18:39:06.694710,10,0.20954451560974122,2,6.0,0.7621510370627302
2026-01-12 18:39:14.867045,11,0.29123892784118655,1,4.350442886352537,0.7507187715067892
2026-01-12 18:39:26.258445,12,0.26603121757507325,1,5.35875129699707,0.7394579899341874
2026-01-12 18:39:31.956405,13,0.2385157346725464,1,7.0,0.7283661200851747
2026-01-12 18:39:37.301020,14,0.21443071365356445,1,7.0,0.717440628283897
2026-01-12 18:39:42.897052,15,0.23023154735565185,1,7.0,0.7066790188596386
2026-01-12 18:39:52.353092,16,0.5839430093765259,1,-10.0,0.6960788335767439
2026-01-12 18:40:00.497358,17,0.23437910079956054,1,7.0,0.6856376510730928
2026-01-12 18:40:08.212588,18,0.2121436834335327,2,5.0,0.6753530863069964
2026-01-12 18:40:16.074043,19,0.2479344606399536,1,7.0,0.6652227900123915
2026-01-12 18:40:23.578037,20,0.24190051555633546,1,7.0,0.6552444481622056
2026-01-12 18:40:32.988448,21,0.22256252765655518,2,5.0,0.6454157814397725
2026-01-12 18:40:41.067123,22,0.24950220584869384,1,7.0,0.6357345447181759
2026-01-12 18:40:46.674578,23,0.20779337882995605,1,7.0,0.6261985265474033
2026-01-12 18:40:52.542299,24,0.24059860706329345,1,7.0,0.6168055486491922
2026-01-12 18:40:57.881574,25,0.22081172466278076,1,7.0,0.6075534654194543
2026-01-12 18:41:05.267131,26,0.3946676254272461,1,-10.0,0.5984401634381625
2026-01-12 18:41:10.924176,27,0.23916001319885255,1,7.0,0.5894635609865901
2026-01-12 18:41:16.310560,28,0.21771695613861083,1,7.0,0.5806216075717913
2026-01-12 18:41:21.802490,29,0.2208550214767456,1,7.0,0.5719122834582144
2026-01-12 18:41:27.287387,30,0.22940397262573242,1,7.0,0.5633335992063412
2026-01-12 18:41:32.594273,31,0.21463871002197266,1,7.0,0.554883595218246
2026-01-12 18:41:39.818545,32,0.3782259702682495,1,-10.0,0.5465603412899723
2026-01-12 18:41:45.284299,33,0.23057892322540283,1,7.0,0.5383619361706228
2026-01-12 18:41:50.709649,34,0.21563928127288817,1,7.0,0.5302865071280635
2026-01-12 18:41:58.396564,35,0.21710555553436278,2,5.0,0.5223322095211425
2026-01-12 18:42:06.000608,36,0.22936406135559081,1,7.0,0.5144972263783253
2026-01-12 18:42:12.997514,37,0.37289340496063234,1,-10.0,0.5067797679826505
2026-01-12 18:42:22.762012,38,0.4020101547241211,2,-8.5,0.4991780714629107
2026-01-12 18:42:38.075256,39,0.7789769411087036,1,-10.0,0.49169040039096706
2026-01-12 18:42:55.393252,40,0.44198811054229736,2,-8.5,0.48431504438510253
2026-01-12 18:43:05.124390,41,0.4476996898651123,2,-10.5,0.477050318719326
2026-01-12 18:43:15.531980,42,0.4650367021560669,2,-10.5,0.4698945639385361
2026-01-12 18:43:27.585918,43,0.3040314674377441,3,1.8387413024902348,0.46284614547945807
2026-01-12 18:43:37.984395,44,0.4339355230331421,2,-10.5,0.45590345329726617
2026-01-12 18:43:47.186628,45,0.3973637819290161,2,-10.5,0.44906490149780715
2026-01-12 18:43:57.944981,46,0.22572600841522217,3,3.0,0.44232892797534
2026-01-12 18:44:07.156229,47,0.24151721000671386,2,6.0,0.4356939940557099
2026-01-12 18:44:14.995348,48,0.2239687919616699,1,7.0,0.42915858414487423
2026-01-12 18:44:20.560046,49,0.22899048328399657,1,7.0,0.42272120538270114
2026-01-12 18:44:29.955819,50,0.39205944538116455,2,-8.5,0.41638038730196064
2026-01-12 18:44:37.242611,51,0.270290732383728,2,4.188370704650879,0.4101346814924312
2026-01-12 18:44:44.938207,52,0.2197713613510132,1,7.0,0.40398266127004473
2026-01-12 18:44:50.647878,53,0.23780040740966796,1,7.0,0.39792292135099405
2026-01-12 18:44:56.146563,54,0.22320218086242677,1,7.0,0.39195407753072914
2026-01-12 18:45:07.000149,55,0.3441194534301758,2,1.235221862792967,0.3860747663677682
2026-01-12 18:45:14.865235,56,0.23127169609069825,1,7.0,0.3802836448722517
2026-01-12 18:45:20.375589,57,0.22073254585266114,1,7.0,0.3745793901991679
2026-01-12 18:45:25.980758,58,0.23666698932647706,1,7.0,0.36896069934618037
2026-01-12 18:45:32.289708,59,0.28123457431793214,1,4.750617027282714,0.36342628885598766
2026-01-12 18:45:43.177532,60,0.27459216117858887,1,5.016313552856445,0.35797489452314785
2026-01-12 18:45:51.126711,61,0.21484179496765138,2,5.0,0.3526052711053006
2026-01-12 18:45:58.788833,62,0.22540271282196045,1,7.0,0.3473161920387211
2026-01-12 18:46:07.376445,63,0.513998293876648,1,-10.0,0.34210644915814026
2026-01-12 18:46:25.857325,64,0.8404395818710327,1,-10.0,0.33697485242076813
2026-01-12 18:46:44.460100,65,0.9553344964981079,1,-10.0,0.3319202296344566
2026-01-12 18:46:59.715754,66,0.4432459831237793,2,-8.5,0.32694142618993977
